Overseas Plants,Model,Sales Type,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
HMI, Xcent (AI3 4DR),Domestic," 5,516 "," 5,053 "," 4,883 "," 4,526 "," 4,433 "," 4,299 "," 4,757 "," 4,304 "," 4,462 "," 4,805 "," 4,248 "," 3,852 "
HMI, Grand i10 (AI3 5DR),Domestic," 6,865 "," 4,947 "," 5,034 "," 5,117 "," 5,328 "," 4,948 "," 4,922 "," 5,365 "," 5,103 "," 6,235 "," 5,667 "," 4,489 "
HMI, i20 (BI3 5DR),Domestic," 7,083 "," 5,131 "," 5,155 "," 5,199 "," 5,169 "," 5,315 "," 4,937 "," 4,913 "," 4,428 "," 5,354 "," 3,925 "," 3,453 "
HMI, Verna (Hci),Domestic, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Verna (BN7i),Domestic," 2,168 "," 1,678 "," 1,712 "," 1,571 "," 1,381 "," 1,424 "," 1,420 "," 1,194 "," 1,198 "," 1,272 "," 1,213 ", 872 
HMI,Exter (AI3 SUV),Domestic," 8,229 "," 7,582 "," 8,475 "," 7,756 "," 7,697 "," 6,908 "," 6,037 "," 6,632 "," 6,908 "," 7,127 "," 5,747 "," 5,270 "
HMI, Venue (QXi),Domestic," 11,831 "," 8,933 "," 9,614 "," 9,120 "," 9,327 "," 9,890 "," 8,840 "," 9,085 "," 10,259 "," 10,901 "," 9,754 "," 10,265 "
HMI, Creta (SU2i),Domestic," 13,212 "," 15,276 "," 16,458 "," 15,447 "," 14,662 "," 16,293 "," 17,350 "," 16,762 "," 15,902 "," 17,497 "," 15,452 "," 12,608 "
HMI, Creta (SU2i LWB),Domestic," 1,827 "," 1,290 "," 1,420 "," 1,219 ", 944 , 882 , 585 ," 1,105 "," 2,712 "," 2,204 "," 2,134 "," 1,342 "
HMI, Kona EV (OSi EV),Domestic, 102 , 86 , 71 , - , - , - , - , - , - , - , - , - 
HMI, IONIQ5 (NEi),Domestic, 95 , 66 , 65 , 45 , 42 , 30 , 35 , 40 , 31 , 32 , 22 , 24 
HMI, Tucson (NX4i),Domestic, 183 , 157 , 110 , 201 , 168 , 114 , 129 , 125 , 98 , 141 , 84 , 33 
HMI, Xcent (AI3 4DR),Export," 1,452 "," 1,394 "," 2,701 "," 3,407 "," 2,950 "," 2,700 "," 2,685 "," 2,564 "," 2,537 "," 2,173 "," 2,153 "," 2,423 "
HMI, Grand i10 (AI3 5DR),Export," 2,821 "," 3,480 "," 2,675 "," 2,925 "," 3,671 "," 3,704 "," 4,564 "," 4,395 "," 3,388 "," 4,707 "," 3,376 "," 4,072 "
HMI, i20 (BI3 5DR),Export, 226 , 407 , 577 , 265 , 887 , 410 , 375 , 587 , 532 , 512 ," 1,045 ", 95 
HMI, Verna (Hci),Export, - , - , - , - , - , - , - , - , - , - , - , - 
HMI, Verna (BN7i),Export," 4,845 "," 3,475 "," 4,730 "," 4,499 "," 4,047 "," 5,416 "," 4,673 "," 3,563 "," 4,863 "," 4,641 "," 4,031 "," 4,054 "
HMI, Exter(AI3 SUV),Export, 29 , 26 , 40 , 13 , 2 , 5 ," 1,008 "," 1,009 ", 733 , 919 ," 1,165 ", 553 
HMI, Venue(QXi),Export, 172 , 701 , 929 ," 1,449 "," 1,279 "," 1,015 ", 591 ," 1,104 ", 719 , 501 , 264 , 429 
HMI, Creta(SU2i),Export, 279 , 292 , 12 , 1 , 375 , 406 , 308 , 268 , 306 , 654 , 172 , 386 
HMI, Creta(SU2i LWB),Export, 676 , 525 , 936 , 941 ," 1,189 "," 1,044 "," 1,346 ", 160 , 22 , 403 , 800 , 858 
HAOS,i10 (AC3),Domestic, 114 , 181 , 179 , 217 , 20 , 3 , 270 , 206 , 106 , 177 , 259 , 142 
HAOS,i20 (BC3),Domestic," 1,279 ", 966 ," 1,529 "," 1,903 "," 2,207 "," 1,774 "," 1,043 "," 1,457 "," 2,021 "," 2,020 "," 2,195 "," 3,308 "
HAOS,Bayon (BC3 CUV),Domestic," 1,186 "," 1,441 "," 1,200 "," 1,157 "," 1,061 "," 1,536 "," 1,182 "," 1,141 "," 1,271 "," 1,227 "," 2,496 "," 2,686 "
HAOS,i20 N (BC3 N),Domestic, 49 , 51 , 50 , 50 , - , 174 , 76 , 50 , - , - , - , - 
HAOS,i10 (AC3),Export," 6,778 "," 6,477 "," 7,122 "," 5,594 "," 7,113 "," 6,203 "," 6,823 "," 4,089 "," 7,427 "," 7,969 "," 7,625 "," 7,268 "
HAOS,i20 (BC3),Export," 7,505 "," 7,370 "," 9,268 "," 4,903 "," 7,849 "," 4,710 "," 7,167 "," 4,398 "," 5,561 "," 7,223 "," 7,929 "," 7,448 "
